2026-04-08 22:41:18,643 DEBUG    asyncio  Using selector: EpollSelector
2026-04-08 22:41:23,615 INFO     httpx  HTTP Request: GET https://archive.org/download/causaganha-dashboard/zip-inventory.txt "HTTP/1.1 302 Found"
2026-04-08 22:41:24,556 INFO     httpx  HTTP Request: GET https://ia601609.us.archive.org/21/items/causaganha-dashboard/zip-inventory.txt "HTTP/1.1 200 OK"
2026-04-08 22:41:24,806 INFO     djen_backup.state  {'filename': 'zip-inventory.txt', 'size': 840856, 'event': 'text_downloaded_from_ia', 'level': 'info', 'timestamp': '2026-04-09T02:41:24.806216Z'}
2026-04-08 22:41:24,827 INFO     djen_backup.backfill  {'from_ia': 8052, 'from_disk': 0, 'from_snapshot': 0, 'total': 8052, 'event': 'zip_inventory_loaded', 'level': 'info', 'timestamp': '2026-04-09T02:41:24.827787Z'}
2026-04-08 22:41:25,561 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-cjf-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:25,811 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-cnj-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:26,084 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-pjecor-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:26,339 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-seeu-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:28,903 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-stf-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:29,155 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-stj-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:29,543 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-stm-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:29,790 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjac-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:30,043 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjal-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:30,290 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjam-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:30,539 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjap-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:30,926 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjba-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:31,172 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjce-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:31,425 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjdft-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:31,688 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjes-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:31,984 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjgo-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:32,291 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjma-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:32,553 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjmg-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:33,517 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjmmg-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:34,536 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjmrs-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:35,521 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjms-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:36,680 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjmsp-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:37,529 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjmt-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:38,567 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjpa-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:39,522 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjpb-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:40,634 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjpe-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:41,556 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjpi-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:42,532 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjpr-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:43,525 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjrj-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:44,539 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjrn-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:45,528 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjro-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:46,530 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjrr-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:47,526 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjrs-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:48,541 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjsc-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:49,523 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjse-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:50,574 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjsp-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:51,552 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tjto-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:54,816 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tre-ac-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:57,375 INFO     httpx  HTTP Request: GET https://archive.org/metadata/djen-tre-al-2026/files "HTTP/1.1 200 OK"
2026-04-08 22:41:57,377 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'year': 2026, 'gaps': 98, 'event': 'backfill_tribunal_year', 'level': 'info', 'timestamp': '2026-04-09T02:41:57.377299Z'}
2026-04-08 22:41:57,585 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-08/D "HTTP/1.1 200 OK"
2026-04-08 22:41:57,587 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-08', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:57.587907Z'}
2026-04-08 22:41:57,696 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-07/D "HTTP/1.1 200 OK"
2026-04-08 22:41:57,697 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-07', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:57.697639Z'}
2026-04-08 22:41:57,801 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-06/D "HTTP/1.1 200 OK"
2026-04-08 22:41:57,802 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-06', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:57.802809Z'}
2026-04-08 22:41:57,906 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-05/D "HTTP/1.1 404 Not Found"
2026-04-08 22:41:57,907 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-05', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:57.907686Z'}
2026-04-08 22:41:58,013 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-04/D "HTTP/1.1 404 Not Found"
2026-04-08 22:41:58,014 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-04', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.014814Z'}
2026-04-08 22:41:58,116 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-03/D "HTTP/1.1 200 OK"
2026-04-08 22:41:58,118 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-03', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.118698Z'}
2026-04-08 22:41:58,223 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-02/D "HTTP/1.1 200 OK"
2026-04-08 22:41:58,225 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-02', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.225529Z'}
2026-04-08 22:41:58,330 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-04-01/D "HTTP/1.1 200 OK"
2026-04-08 22:41:58,332 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-04-01', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.332768Z'}
2026-04-08 22:41:58,433 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-31/D "HTTP/1.1 200 OK"
2026-04-08 22:41:58,435 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-31', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.435503Z'}
2026-04-08 22:41:58,534 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-30/D "HTTP/1.1 200 OK"
2026-04-08 22:41:58,536 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-30', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.536220Z'}
2026-04-08 22:41:58,644 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-29/D "HTTP/1.1 404 Not Found"
2026-04-08 22:41:58,650 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-29', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.650383Z'}
2026-04-08 22:41:58,752 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-28/D "HTTP/1.1 404 Not Found"
2026-04-08 22:41:58,753 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-28', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.753480Z'}
2026-04-08 22:41:58,859 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-27/D "HTTP/1.1 200 OK"
2026-04-08 22:41:58,861 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-27', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:58.861461Z'}
2026-04-08 22:41:58,966 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-26/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,009 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-26', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.009584Z'}
2026-04-08 22:41:59,115 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-25/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,117 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-25', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.117217Z'}
2026-04-08 22:41:59,220 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-24/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,221 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-24', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.221943Z'}
2026-04-08 22:41:59,331 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-23/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,333 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-23', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.333630Z'}
2026-04-08 22:41:59,444 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-22/D "HTTP/1.1 404 Not Found"
2026-04-08 22:41:59,445 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-22', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.445922Z'}
2026-04-08 22:41:59,548 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-21/D "HTTP/1.1 404 Not Found"
2026-04-08 22:41:59,550 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-21', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.550602Z'}
2026-04-08 22:41:59,697 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-20/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,698 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-20', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.698864Z'}
2026-04-08 22:41:59,802 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-19/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,843 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-19', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.843951Z'}
2026-04-08 22:41:59,950 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-18/D "HTTP/1.1 200 OK"
2026-04-08 22:41:59,953 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-18', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:41:59.953845Z'}
2026-04-08 22:42:00,058 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-17/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,060 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-17', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.060663Z'}
2026-04-08 22:42:00,171 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-16/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,175 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-16', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.175273Z'}
2026-04-08 22:42:00,282 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-15/D "HTTP/1.1 404 Not Found"
2026-04-08 22:42:00,283 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-15', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.283526Z'}
2026-04-08 22:42:00,381 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-14/D "HTTP/1.1 404 Not Found"
2026-04-08 22:42:00,382 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-14', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.382953Z'}
2026-04-08 22:42:00,490 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-13/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,494 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-13', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.494066Z'}
2026-04-08 22:42:00,603 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-12/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,605 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-12', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.605928Z'}
2026-04-08 22:42:00,710 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-11/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,712 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-11', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.712417Z'}
2026-04-08 22:42:00,821 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-10/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,823 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-10', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.823368Z'}
2026-04-08 22:42:00,934 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-09/D "HTTP/1.1 200 OK"
2026-04-08 22:42:00,936 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-09', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:00.936316Z'}
2026-04-08 22:42:01,040 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-08/D "HTTP/1.1 404 Not Found"
2026-04-08 22:42:01,042 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-08', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.042149Z'}
2026-04-08 22:42:01,149 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-07/D "HTTP/1.1 404 Not Found"
2026-04-08 22:42:01,151 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-07', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.151509Z'}
2026-04-08 22:42:01,252 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-06/D "HTTP/1.1 200 OK"
2026-04-08 22:42:01,254 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-06', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.254590Z'}
2026-04-08 22:42:01,360 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-05/D "HTTP/1.1 200 OK"
2026-04-08 22:42:01,362 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-05', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.362826Z'}
2026-04-08 22:42:01,472 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-04/D "HTTP/1.1 200 OK"
2026-04-08 22:42:01,474 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-04', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.474301Z'}
2026-04-08 22:42:01,594 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-03/D "HTTP/1.1 200 OK"
2026-04-08 22:42:01,597 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-03', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.597133Z'}
2026-04-08 22:42:01,749 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-02/D "HTTP/1.1 200 OK"
2026-04-08 22:42:01,750 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-02', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.750774Z'}
2026-04-08 22:42:01,895 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-03-01/D "HTTP/1.1 404 Not Found"
2026-04-08 22:42:01,897 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-03-01', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:01.897106Z'}
2026-04-08 22:42:02,001 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-28/D "HTTP/1.1 404 Not Found"
2026-04-08 22:42:02,002 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-02-28', 'status_code': 404, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:02.002891Z'}
2026-04-08 22:42:02,110 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-27/D "HTTP/1.1 200 OK"
2026-04-08 22:42:02,112 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-02-27', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:02.112147Z'}
2026-04-08 22:42:02,254 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-26/D "HTTP/1.1 200 OK"
2026-04-08 22:42:02,256 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-02-26', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:02.256464Z'}
2026-04-08 22:42:02,361 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-25/D "HTTP/1.1 200 OK"
2026-04-08 22:42:02,362 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-02-25', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:02.362940Z'}
2026-04-08 22:42:02,466 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-24/D "HTTP/1.1 200 OK"
2026-04-08 22:42:02,467 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-02-24', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:02.467829Z'}
2026-04-08 22:42:02,571 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-23/D "HTTP/1.1 200 OK"
2026-04-08 22:42:02,574 INFO     djen_backup.backfill  {'tribunal': 'TRE-AL', 'date': '2026-02-23', 'status_code': 200, 'event': 'backfill_empty', 'level': 'info', 'timestamp': '2026-04-09T02:42:02.574007Z'}
2026-04-08 22:42:02,674 INFO     httpx  HTTP Request: GET https://comunicaapi.pje.jus.br/api/v1/caderno/TRE-AL/2026-02-22/D "HTTP/1.1 404 Not Found"
